date,description,category,amount,type,account,payment_method
6/6/2024,Electricity Bill,Electricity,3650,expense,ICICI Savings,Card
3/24/2022,Restaurant Payment,Dining,5088,expense,ICICI Savings,Card
7/24/2022,Restaurant Payment,Dining,923,expense,HDFC Savings,Card
2/12/2024,Electricity Bill,Electricity,6479,expense,HDFC Savings,NetBanking
3/6/2024,Supermarket Purchase,Groceries,686,expense,HDFC Savings,UPI
10/21/2023,Travel Booking,Travel,581,expense,ICICI Savings,NetBanking
2/4/2022,SIP Investment,Mutual Fund,9701,expense,ICICI Savings,Card
1/1/2023,Travel Booking,Travel,4347,expense,HDFC Savings,UPI
2/2/2024,Restaurant Payment,Dining,6117,expense,ICICI Savings,Card
9/8/2022,Broadband Bill,Internet,6757,expense,ICICI Savings,NetBanking
11/4/2023,Online Shopping,Shopping,3193,expense,HDFC Savings,Card
7/4/2022,Supermarket Purchase,Groceries,7285,expense,HDFC Savings,Card
3/17/2023,Monthly Salary Credit,Salary,80686,income,HDFC Savings,UPI
9/24/2022,Electricity Bill,Electricity,436,expense,HDFC Savings,UPI
3/3/2022,Travel Booking,Travel,2211,expense,ICICI Savings,NetBanking
2/11/2024,Medical Expense,Medical,3162,expense,ICICI Savings,UPI
3/22/2022,Insurance Premium,Insurance,5847,expense,ICICI Savings,Card
3/24/2022,Freelance Project Payment,Freelance,4686,income,HDFC Savings,NetBanking
11/22/2022,Broadband Bill,Internet,1961,expense,ICICI Savings,Card
2/16/2023,Online Shopping,Shopping,826,expense,ICICI Savings,NetBanking
11/10/2022,Electricity Bill,Electricity,3875,expense,ICICI Savings,UPI
6/7/2023,Medical Expense,Medical,6459,expense,ICICI Savings,NetBanking
5/14/2023,Medical Expense,Medical,200,expense,ICICI Savings,NetBanking
4/18/2023,Travel Booking,Travel,4980,expense,ICICI Savings,Card
11/19/2023,Medical Expense,Medical,7232,expense,ICICI Savings,NetBanking
5/31/2022,Travel Booking,Travel,5230,expense,HDFC Savings,NetBanking
1/17/2023,Travel Booking,Travel,1290,expense,ICICI Savings,Card
12/18/2022,Insurance Premium,Insurance,5001,expense,ICICI Savings,UPI
6/24/2023,Medical Expense,Medical,5269,expense,HDFC Savings,Card
1/6/2024,House Rent,Rent,18812,expense,HDFC Savings,UPI
1/18/2024,House Rent,Rent,24408,expense,HDFC Savings,Card
3/9/2023,Restaurant Payment,Dining,7207,expense,HDFC Savings,Card
10/12/2022,Equity Purchase,Stocks,10883,expense,HDFC Savings,NetBanking
7/2/2023,Online Shopping,Shopping,1631,expense,HDFC Savings,UPI
9/17/2022,Monthly Salary Credit,Salary,71618,income,HDFC Savings,UPI
6/15/2024,Freelance Project Payment,Freelance,4557,income,ICICI Savings,Card
2/3/2022,Restaurant Payment,Dining,4169,expense,ICICI Savings,Card
6/7/2024,Supermarket Purchase,Groceries,1946,expense,HDFC Savings,Card
4/10/2023,Travel Booking,Travel,6267,expense,ICICI Savings,UPI
9/25/2022,Electricity Bill,Electricity,2651,expense,ICICI Savings,UPI
1/3/2022,Supermarket Purchase,Groceries,2881,expense,ICICI Savings,Card
4/16/2022,Monthly Salary Credit,Salary,89399,income,HDFC Savings,NetBanking
8/20/2022,SIP Investment,Mutual Fund,11266,expense,ICICI Savings,NetBanking
8/20/2022,Equity Purchase,Stocks,8854,expense,HDFC Savings,NetBanking
2/5/2024,Medical Expense,Medical,5931,expense,ICICI Savings,Card
11/14/2022,Equity Purchase,Stocks,11141,expense,ICICI Savings,Card
4/8/2022,Supermarket Purchase,Groceries,938,expense,HDFC Savings,Card
3/20/2022,Broadband Bill,Internet,5723,expense,HDFC Savings,UPI
5/25/2022,Fuel Station,Fuel,4411,expense,ICICI Savings,UPI
10/1/2022,Online Shopping,Shopping,6527,expense,ICICI Savings,NetBanking
4/14/2024,Freelance Project Payment,Freelance,3061,income,HDFC Savings,NetBanking
6/24/2023,SIP Investment,Mutual Fund,11814,expense,ICICI Savings,NetBanking
6/21/2022,Travel Booking,Travel,1174,expense,ICICI Savings,NetBanking
9/9/2023,Fuel Station,Fuel,3015,expense,HDFC Savings,NetBanking
6/20/2023,Restaurant Payment,Dining,5982,expense,HDFC Savings,UPI
7/22/2023,Online Shopping,Shopping,2905,expense,ICICI Savings,NetBanking
5/9/2024,Equity Purchase,Stocks,4812,expense,ICICI Savings,Card
12/20/2022,SIP Investment,Mutual Fund,13171,expense,HDFC Savings,UPI
7/5/2023,Supermarket Purchase,Groceries,7920,expense,HDFC Savings,NetBanking
8/14/2022,Restaurant Payment,Dining,4562,expense,HDFC Savings,NetBanking
1/4/2024,SIP Investment,Mutual Fund,3672,expense,HDFC Savings,UPI
6/30/2023,Freelance Project Payment,Freelance,6910,income,ICICI Savings,Card
7/13/2022,Restaurant Payment,Dining,1241,expense,HDFC Savings,Card
6/10/2022,Freelance Project Payment,Freelance,5845,income,ICICI Savings,NetBanking
4/20/2023,Travel Booking,Travel,7090,expense,HDFC Savings,UPI
5/10/2024,Insurance Premium,Insurance,6225,expense,HDFC Savings,UPI
3/6/2022,Broadband Bill,Internet,2775,expense,HDFC Savings,Card
7/17/2022,Restaurant Payment,Dining,942,expense,HDFC Savings,Card
1/12/2024,Online Shopping,Shopping,921,expense,HDFC Savings,UPI
3/27/2022,Fuel Station,Fuel,7430,expense,ICICI Savings,Card
7/20/2022,Equity Purchase,Stocks,3884,expense,HDFC Savings,Card
8/17/2022,Monthly Salary Credit,Salary,66219,income,HDFC Savings,Card
10/31/2022,Monthly Salary Credit,Salary,74738,income,ICICI Savings,NetBanking
4/1/2022,Medical Expense,Medical,6034,expense,HDFC Savings,UPI
9/24/2023,Travel Booking,Travel,3536,expense,ICICI Savings,NetBanking
7/17/2023,Restaurant Payment,Dining,5636,expense,ICICI Savings,Card
4/13/2023,Online Shopping,Shopping,6273,expense,ICICI Savings,UPI
2/7/2024,SIP Investment,Mutual Fund,8004,expense,ICICI Savings,Card
5/3/2022,SIP Investment,Mutual Fund,12148,expense,HDFC Savings,NetBanking
8/29/2023,Freelance Project Payment,Freelance,1358,income,ICICI Savings,NetBanking
5/28/2024,Insurance Premium,Insurance,2386,expense,ICICI Savings,UPI
2/26/2022,Online Shopping,Shopping,2713,expense,HDFC Savings,NetBanking
1/22/2024,SIP Investment,Mutual Fund,4687,expense,HDFC Savings,Card
4/18/2022,Travel Booking,Travel,6329,expense,ICICI Savings,NetBanking
1/25/2023,Travel Booking,Travel,5245,expense,HDFC Savings,UPI
3/2/2022,SIP Investment,Mutual Fund,14506,expense,HDFC Savings,UPI
11/12/2023,Restaurant Payment,Dining,1297,expense,HDFC Savings,Card
7/3/2023,House Rent,Rent,21838,expense,HDFC Savings,UPI
12/5/2023,Freelance Project Payment,Freelance,5384,income,ICICI Savings,Card
10/16/2023,Online Shopping,Shopping,1596,expense,ICICI Savings,NetBanking
8/6/2023,SIP Investment,Mutual Fund,9249,expense,HDFC Savings,UPI
6/26/2023,Supermarket Purchase,Groceries,5372,expense,ICICI Savings,Card
8/10/2023,SIP Investment,Mutual Fund,14606,expense,HDFC Savings,NetBanking
1/4/2022,Monthly Salary Credit,Salary,71313,income,HDFC Savings,UPI
11/9/2023,SIP Investment,Mutual Fund,13389,expense,ICICI Savings,Card
5/13/2022,SIP Investment,Mutual Fund,5173,expense,ICICI Savings,UPI
12/22/2023,Supermarket Purchase,Groceries,1493,expense,HDFC Savings,UPI
2/17/2022,Medical Expense,Medical,5614,expense,ICICI Savings,Card
7/27/2023,Fuel Station,Fuel,5243,expense,ICICI Savings,NetBanking
5/12/2022,Restaurant Payment,Dining,6795,expense,HDFC Savings,NetBanking
4/20/2023,Freelance Project Payment,Freelance,1385,income,ICICI Savings,UPI
10/30/2022,Fuel Station,Fuel,1725,expense,HDFC Savings,Card
11/25/2023,Broadband Bill,Internet,7446,expense,HDFC Savings,NetBanking
5/31/2022,Medical Expense,Medical,7963,expense,ICICI Savings,UPI
4/5/2024,Online Shopping,Shopping,559,expense,ICICI Savings,NetBanking
1/30/2022,House Rent,Rent,17980,expense,ICICI Savings,UPI
3/5/2023,SIP Investment,Mutual Fund,8875,expense,ICICI Savings,Card
9/27/2022,Electricity Bill,Electricity,6791,expense,ICICI Savings,NetBanking
9/14/2023,Fuel Station,Fuel,541,expense,HDFC Savings,Card
6/10/2024,Freelance Project Payment,Freelance,5398,income,ICICI Savings,Card
2/6/2023,Travel Booking,Travel,2326,expense,HDFC Savings,UPI
4/7/2022,Online Shopping,Shopping,2897,expense,ICICI Savings,Card
4/4/2024,House Rent,Rent,18613,expense,ICICI Savings,NetBanking
6/5/2023,Broadband Bill,Internet,3827,expense,ICICI Savings,Card
3/12/2023,Travel Booking,Travel,7665,expense,HDFC Savings,UPI
7/30/2022,Online Shopping,Shopping,5598,expense,HDFC Savings,Card
10/25/2023,House Rent,Rent,17261,expense,HDFC Savings,UPI
4/11/2022,SIP Investment,Mutual Fund,14909,expense,HDFC Savings,NetBanking
1/27/2023,Monthly Salary Credit,Salary,69156,income,ICICI Savings,NetBanking
10/11/2022,Medical Expense,Medical,6370,expense,ICICI Savings,UPI
2/11/2024,Insurance Premium,Insurance,5241,expense,HDFC Savings,UPI
6/6/2023,Monthly Salary Credit,Salary,66793,income,ICICI Savings,UPI
2/18/2024,Travel Booking,Travel,6182,expense,ICICI Savings,NetBanking
8/24/2023,SIP Investment,Mutual Fund,8286,expense,HDFC Savings,NetBanking
6/22/2022,Travel Booking,Travel,4865,expense,ICICI Savings,Card
3/17/2022,Insurance Premium,Insurance,6026,expense,HDFC Savings,Card
4/16/2023,SIP Investment,Mutual Fund,12230,expense,HDFC Savings,Card
8/27/2022,Restaurant Payment,Dining,3808,expense,HDFC Savings,NetBanking
9/3/2022,Insurance Premium,Insurance,3136,expense,HDFC Savings,NetBanking
2/23/2023,Electricity Bill,Electricity,1961,expense,HDFC Savings,NetBanking
12/6/2022,Travel Booking,Travel,2010,expense,HDFC Savings,NetBanking
1/18/2024,Online Shopping,Shopping,4242,expense,HDFC Savings,NetBanking
9/19/2022,Equity Purchase,Stocks,11364,expense,ICICI Savings,NetBanking
6/26/2023,Travel Booking,Travel,6509,expense,ICICI Savings,Card
1/25/2023,Travel Booking,Travel,5613,expense,HDFC Savings,NetBanking
6/20/2022,Fuel Station,Fuel,6543,expense,HDFC Savings,UPI
6/23/2023,House Rent,Rent,23790,expense,HDFC Savings,UPI
6/24/2023,Supermarket Purchase,Groceries,1463,expense,HDFC Savings,Card
8/3/2022,Monthly Salary Credit,Salary,74312,income,ICICI Savings,Card
7/3/2023,Travel Booking,Travel,2641,expense,ICICI Savings,Card
2/24/2023,Medical Expense,Medical,4256,expense,HDFC Savings,NetBanking
2/13/2023,Restaurant Payment,Dining,2853,expense,HDFC Savings,Card
10/3/2022,Travel Booking,Travel,2499,expense,ICICI Savings,NetBanking
5/2/2023,Fuel Station,Fuel,1400,expense,HDFC Savings,UPI
1/1/2023,Medical Expense,Medical,1843,expense,HDFC Savings,Card
11/27/2022,Fuel Station,Fuel,5800,expense,ICICI Savings,NetBanking
10/6/2023,House Rent,Rent,23240,expense,ICICI Savings,Card
7/5/2023,Travel Booking,Travel,3946,expense,ICICI Savings,UPI
12/4/2023,Freelance Project Payment,Freelance,5981,income,ICICI Savings,NetBanking
1/31/2023,Medical Expense,Medical,7468,expense,HDFC Savings,Card
3/31/2023,Fuel Station,Fuel,6430,expense,HDFC Savings,NetBanking
10/30/2023,Freelance Project Payment,Freelance,6670,income,ICICI Savings,Card
9/21/2022,Fuel Station,Fuel,2035,expense,ICICI Savings,NetBanking
2/21/2023,Fuel Station,Fuel,6648,expense,ICICI Savings,UPI
2/25/2024,Fuel Station,Fuel,6578,expense,ICICI Savings,Card
4/25/2022,Insurance Premium,Insurance,3503,expense,ICICI Savings,NetBanking
9/6/2023,Online Shopping,Shopping,2146,expense,HDFC Savings,UPI
8/3/2023,Supermarket Purchase,Groceries,3075,expense,HDFC Savings,UPI
5/5/2024,Freelance Project Payment,Freelance,3444,income,HDFC Savings,UPI
3/29/2022,SIP Investment,Mutual Fund,8362,expense,ICICI Savings,NetBanking
10/17/2023,House Rent,Rent,17827,expense,ICICI Savings,UPI
5/10/2022,Broadband Bill,Internet,2500,expense,HDFC Savings,Card
3/1/2024,Medical Expense,Medical,5116,expense,HDFC Savings,Card
1/26/2023,Online Shopping,Shopping,4732,expense,HDFC Savings,NetBanking
10/6/2023,Broadband Bill,Internet,6477,expense,ICICI Savings,Card
11/2/2023,Travel Booking,Travel,603,expense,HDFC Savings,NetBanking
6/14/2024,Broadband Bill,Internet,475,expense,ICICI Savings,UPI
3/23/2024,Supermarket Purchase,Groceries,1810,expense,ICICI Savings,NetBanking
1/6/2022,Freelance Project Payment,Freelance,7069,income,ICICI Savings,UPI
3/26/2023,Travel Booking,Travel,2182,expense,ICICI Savings,NetBanking
2/13/2023,Online Shopping,Shopping,6318,expense,ICICI Savings,UPI
12/21/2022,Fuel Station,Fuel,2339,expense,ICICI Savings,Card
1/17/2022,Fuel Station,Fuel,2207,expense,HDFC Savings,Card
2/11/2022,Insurance Premium,Insurance,7495,expense,ICICI Savings,Card
5/26/2024,Restaurant Payment,Dining,7829,expense,ICICI Savings,NetBanking
12/19/2023,House Rent,Rent,23122,expense,HDFC Savings,UPI
10/7/2023,Fuel Station,Fuel,6338,expense,HDFC Savings,Card
12/15/2023,Equity Purchase,Stocks,7897,expense,HDFC Savings,UPI
9/6/2023,Travel Booking,Travel,1454,expense,ICICI Savings,Card
4/1/2023,Travel Booking,Travel,5332,expense,HDFC Savings,NetBanking
1/9/2023,Travel Booking,Travel,548,expense,HDFC Savings,UPI
6/19/2024,Fuel Station,Fuel,2829,expense,HDFC Savings,NetBanking
9/9/2022,Equity Purchase,Stocks,3321,expense,ICICI Savings,Card
12/15/2022,Equity Purchase,Stocks,8243,expense,HDFC Savings,UPI
6/12/2022,Online Shopping,Shopping,1694,expense,ICICI Savings,Card
8/11/2022,Insurance Premium,Insurance,3237,expense,ICICI Savings,Card
10/19/2023,Broadband Bill,Internet,2387,expense,ICICI Savings,NetBanking
2/9/2023,Monthly Salary Credit,Salary,74608,income,HDFC Savings,Card
4/30/2024,Fuel Station,Fuel,873,expense,HDFC Savings,NetBanking
6/1/2023,Freelance Project Payment,Freelance,3936,income,ICICI Savings,Card
1/15/2023,Freelance Project Payment,Freelance,1454,income,ICICI Savings,Card
4/9/2022,SIP Investment,Mutual Fund,8026,expense,HDFC Savings,Card
7/30/2022,Medical Expense,Medical,1021,expense,ICICI Savings,Card
9/27/2023,Broadband Bill,Internet,1656,expense,HDFC Savings,NetBanking
3/10/2024,Medical Expense,Medical,2955,expense,ICICI Savings,Card
3/27/2023,Electricity Bill,Electricity,3758,expense,ICICI Savings,Card
3/9/2024,Fuel Station,Fuel,4970,expense,HDFC Savings,Card
1/20/2022,Fuel Station,Fuel,2871,expense,ICICI Savings,NetBanking
9/20/2023,Restaurant Payment,Dining,5513,expense,HDFC Savings,NetBanking
5/5/2024,Restaurant Payment,Dining,2023,expense,ICICI Savings,NetBanking
4/28/2023,Medical Expense,Medical,4235,expense,HDFC Savings,Card
5/30/2024,Online Shopping,Shopping,6759,expense,HDFC Savings,UPI
1/14/2024,Monthly Salary Credit,Salary,87199,income,ICICI Savings,NetBanking
5/29/2024,Monthly Salary Credit,Salary,75953,income,ICICI Savings,NetBanking
9/4/2022,Restaurant Payment,Dining,7287,expense,HDFC Savings,Card
8/4/2022,Fuel Station,Fuel,5063,expense,ICICI Savings,Card
5/8/2022,Monthly Salary Credit,Salary,81757,income,HDFC Savings,UPI
5/7/2022,Fuel Station,Fuel,5471,expense,ICICI Savings,Card
4/11/2023,Equity Purchase,Stocks,6747,expense,ICICI Savings,NetBanking
9/27/2022,Supermarket Purchase,Groceries,5633,expense,HDFC Savings,NetBanking
9/26/2022,Travel Booking,Travel,4595,expense,ICICI Savings,UPI
6/27/2022,Fuel Station,Fuel,7921,expense,ICICI Savings,Card
5/28/2023,Fuel Station,Fuel,3487,expense,ICICI Savings,UPI
8/17/2022,Fuel Station,Fuel,2414,expense,ICICI Savings,Card
4/8/2022,Online Shopping,Shopping,4574,expense,ICICI Savings,NetBanking
1/19/2023,Electricity Bill,Electricity,1953,expense,ICICI Savings,UPI
9/1/2022,Equity Purchase,Stocks,5368,expense,ICICI Savings,Card
12/24/2022,Broadband Bill,Internet,344,expense,ICICI Savings,Card
2/4/2024,Insurance Premium,Insurance,2669,expense,ICICI Savings,Card
5/29/2023,Freelance Project Payment,Freelance,5554,income,ICICI Savings,Card
2/15/2022,House Rent,Rent,23698,expense,ICICI Savings,NetBanking
10/18/2023,Freelance Project Payment,Freelance,6562,income,HDFC Savings,Card
6/21/2022,Supermarket Purchase,Groceries,1948,expense,ICICI Savings,Card
1/2/2022,Restaurant Payment,Dining,349,expense,ICICI Savings,UPI
9/15/2022,Online Shopping,Shopping,6809,expense,ICICI Savings,NetBanking
1/4/2024,Freelance Project Payment,Freelance,2284,income,ICICI Savings,NetBanking
8/28/2023,Electricity Bill,Electricity,6101,expense,HDFC Savings,Card
5/8/2022,Broadband Bill,Internet,3061,expense,ICICI Savings,NetBanking
12/15/2022,Monthly Salary Credit,Salary,76980,income,HDFC Savings,Card
10/18/2022,Fuel Station,Fuel,6048,expense,ICICI Savings,UPI
5/6/2022,Electricity Bill,Electricity,408,expense,HDFC Savings,NetBanking
4/24/2024,Online Shopping,Shopping,1025,expense,HDFC Savings,UPI
4/17/2023,Fuel Station,Fuel,5244,expense,HDFC Savings,NetBanking
5/16/2024,Monthly Salary Credit,Salary,84837,income,HDFC Savings,Card
2/7/2024,Monthly Salary Credit,Salary,72557,income,ICICI Savings,NetBanking
3/20/2024,Medical Expense,Medical,2409,expense,HDFC Savings,Card
7/11/2023,Online Shopping,Shopping,5940,expense,HDFC Savings,NetBanking
11/17/2022,Fuel Station,Fuel,5769,expense,HDFC Savings,Card
12/22/2023,House Rent,Rent,16799,expense,ICICI Savings,NetBanking
4/9/2024,SIP Investment,Mutual Fund,6872,expense,ICICI Savings,Card
2/16/2023,Medical Expense,Medical,2247,expense,ICICI Savings,UPI
3/20/2024,Online Shopping,Shopping,4187,expense,HDFC Savings,Card
6/19/2024,Medical Expense,Medical,6717,expense,ICICI Savings,NetBanking
6/24/2023,Insurance Premium,Insurance,3538,expense,HDFC Savings,Card
3/1/2022,Electricity Bill,Electricity,1249,expense,HDFC Savings,NetBanking
7/6/2023,Supermarket Purchase,Groceries,2412,expense,HDFC Savings,UPI
8/25/2022,SIP Investment,Mutual Fund,8659,expense,HDFC Savings,UPI
9/19/2023,Monthly Salary Credit,Salary,62438,income,ICICI Savings,UPI
2/18/2022,Insurance Premium,Insurance,4034,expense,ICICI Savings,UPI
5/20/2023,Medical Expense,Medical,2737,expense,HDFC Savings,Card
2/19/2023,Equity Purchase,Stocks,14016,expense,HDFC Savings,Card
5/7/2023,Travel Booking,Travel,6523,expense,ICICI Savings,Card
2/27/2024,Equity Purchase,Stocks,4024,expense,ICICI Savings,NetBanking
1/23/2022,Supermarket Purchase,Groceries,5963,expense,HDFC Savings,NetBanking
2/22/2022,Electricity Bill,Electricity,5717,expense,HDFC Savings,Card
3/3/2024,Medical Expense,Medical,3779,expense,ICICI Savings,NetBanking
4/13/2024,House Rent,Rent,21387,expense,HDFC Savings,NetBanking
6/28/2022,Equity Purchase,Stocks,8614,expense,HDFC Savings,NetBanking
3/2/2023,Supermarket Purchase,Groceries,7547,expense,ICICI Savings,NetBanking
9/28/2022,Travel Booking,Travel,6576,expense,HDFC Savings,UPI
6/3/2023,Equity Purchase,Stocks,11570,expense,ICICI Savings,Card
8/21/2023,Freelance Project Payment,Freelance,924,income,HDFC Savings,NetBanking
5/12/2022,Supermarket Purchase,Groceries,6727,expense,HDFC Savings,UPI
9/28/2022,Medical Expense,Medical,5587,expense,HDFC Savings,Card
6/6/2024,House Rent,Rent,21186,expense,HDFC Savings,UPI
8/23/2023,Electricity Bill,Electricity,6669,expense,HDFC Savings,Card
4/9/2024,Insurance Premium,Insurance,7287,expense,ICICI Savings,Card
2/16/2024,SIP Investment,Mutual Fund,8217,expense,ICICI Savings,Card
10/7/2023,Medical Expense,Medical,2435,expense,ICICI Savings,Card
12/18/2023,Supermarket Purchase,Groceries,1681,expense,ICICI Savings,NetBanking
4/18/2024,Fuel Station,Fuel,2495,expense,ICICI Savings,UPI
4/23/2022,Broadband Bill,Internet,999,expense,ICICI Savings,UPI
8/7/2022,Online Shopping,Shopping,7747,expense,ICICI Savings,UPI
6/8/2023,Monthly Salary Credit,Salary,82516,income,ICICI Savings,UPI
3/1/2022,Supermarket Purchase,Groceries,4727,expense,HDFC Savings,NetBanking
8/31/2023,Supermarket Purchase,Groceries,3841,expense,ICICI Savings,NetBanking
11/5/2022,SIP Investment,Mutual Fund,4633,expense,ICICI Savings,Card
3/24/2022,Restaurant Payment,Dining,3329,expense,HDFC Savings,UPI
1/29/2022,Freelance Project Payment,Freelance,2338,income,HDFC Savings,UPI
9/6/2022,Fuel Station,Fuel,2386,expense,HDFC Savings,UPI
4/24/2022,House Rent,Rent,22256,expense,HDFC Savings,NetBanking
8/1/2022,Online Shopping,Shopping,293,expense,HDFC Savings,UPI
6/5/2023,Electricity Bill,Electricity,7396,expense,ICICI Savings,Card
4/25/2023,Electricity Bill,Electricity,578,expense,HDFC Savings,Card
11/9/2023,Medical Expense,Medical,4158,expense,ICICI Savings,UPI
7/11/2023,Supermarket Purchase,Groceries,6552,expense,ICICI Savings,Card
5/28/2022,Travel Booking,Travel,5145,expense,ICICI Savings,UPI
5/10/2023,Online Shopping,Shopping,5559,expense,ICICI Savings,NetBanking
5/8/2024,Freelance Project Payment,Freelance,5414,income,ICICI Savings,UPI
4/7/2022,Electricity Bill,Electricity,1406,expense,HDFC Savings,Card
7/13/2023,Broadband Bill,Internet,7126,expense,ICICI Savings,NetBanking
2/20/2022,Medical Expense,Medical,2655,expense,HDFC Savings,NetBanking
2/4/2023,Equity Purchase,Stocks,12409,expense,HDFC Savings,UPI
8/20/2022,Equity Purchase,Stocks,13998,expense,HDFC Savings,Card
5/15/2024,Restaurant Payment,Dining,5560,expense,ICICI Savings,Card
9/20/2022,Insurance Premium,Insurance,3717,expense,ICICI Savings,Card
4/22/2022,Insurance Premium,Insurance,5220,expense,HDFC Savings,Card
2/7/2022,Fuel Station,Fuel,6081,expense,HDFC Savings,NetBanking
11/30/2023,Monthly Salary Credit,Salary,72678,income,ICICI Savings,NetBanking
2/3/2022,Insurance Premium,Insurance,6092,expense,ICICI Savings,NetBanking
1/16/2022,Supermarket Purchase,Groceries,2644,expense,HDFC Savings,Card
4/13/2024,Medical Expense,Medical,1137,expense,ICICI Savings,NetBanking
2/24/2022,Freelance Project Payment,Freelance,4724,income,HDFC Savings,NetBanking
6/3/2024,Fuel Station,Fuel,4776,expense,HDFC Savings,UPI
2/11/2023,Broadband Bill,Internet,1364,expense,ICICI Savings,Card
1/12/2022,Electricity Bill,Electricity,2471,expense,HDFC Savings,UPI
12/7/2022,Supermarket Purchase,Groceries,748,expense,HDFC Savings,NetBanking
2/12/2023,Travel Booking,Travel,1334,expense,ICICI Savings,UPI
2/16/2023,SIP Investment,Mutual Fund,3056,expense,HDFC Savings,UPI
4/26/2022,Online Shopping,Shopping,4880,expense,HDFC Savings,NetBanking
12/26/2023,Broadband Bill,Internet,3931,expense,ICICI Savings,Card
6/11/2023,Monthly Salary Credit,Salary,64638,income,HDFC Savings,UPI
3/2/2024,Fuel Station,Fuel,4666,expense,HDFC Savings,NetBanking
4/27/2024,Restaurant Payment,Dining,1773,expense,HDFC Savings,UPI
2/23/2023,Fuel Station,Fuel,3875,expense,HDFC Savings,Card
5/21/2024,Freelance Project Payment,Freelance,4132,income,ICICI Savings,Card
9/17/2022,Online Shopping,Shopping,4901,expense,HDFC Savings,NetBanking
12/24/2023,Fuel Station,Fuel,1200,expense,HDFC Savings,UPI
1/23/2024,Freelance Project Payment,Freelance,2692,income,HDFC Savings,UPI
6/4/2022,Broadband Bill,Internet,2203,expense,HDFC Savings,UPI
8/9/2023,Fuel Station,Fuel,3211,expense,ICICI Savings,NetBanking
8/16/2023,Monthly Salary Credit,Salary,67226,income,ICICI Savings,NetBanking
4/10/2023,Freelance Project Payment,Freelance,4236,income,ICICI Savings,UPI
5/27/2024,Electricity Bill,Electricity,5928,expense,HDFC Savings,UPI
2/3/2022,Fuel Station,Fuel,3565,expense,ICICI Savings,UPI
8/10/2023,Restaurant Payment,Dining,803,expense,HDFC Savings,Card
12/17/2023,Online Shopping,Shopping,239,expense,ICICI Savings,UPI
2/6/2023,Restaurant Payment,Dining,4630,expense,HDFC Savings,NetBanking
10/9/2023,Broadband Bill,Internet,5038,expense,ICICI Savings,UPI
9/2/2022,Electricity Bill,Electricity,3355,expense,ICICI Savings,UPI
2/14/2024,Broadband Bill,Internet,3915,expense,ICICI Savings,Card
4/21/2023,Equity Purchase,Stocks,13931,expense,ICICI Savings,UPI
1/10/2022,Online Shopping,Shopping,2492,expense,HDFC Savings,Card
11/29/2022,Medical Expense,Medical,7104,expense,ICICI Savings,NetBanking
10/13/2023,Medical Expense,Medical,7097,expense,HDFC Savings,UPI
10/17/2023,SIP Investment,Mutual Fund,10740,expense,HDFC Savings,UPI
8/22/2022,Supermarket Purchase,Groceries,1650,expense,ICICI Savings,NetBanking
3/21/2024,Online Shopping,Shopping,6331,expense,ICICI Savings,Card
2/13/2024,Electricity Bill,Electricity,7541,expense,ICICI Savings,Card
4/30/2022,SIP Investment,Mutual Fund,3005,expense,ICICI Savings,NetBanking
10/15/2022,Broadband Bill,Internet,7235,expense,HDFC Savings,NetBanking
11/7/2022,Travel Booking,Travel,7353,expense,ICICI Savings,NetBanking
4/1/2024,Supermarket Purchase,Groceries,7111,expense,HDFC Savings,NetBanking
4/5/2022,Fuel Station,Fuel,3370,expense,HDFC Savings,Card
5/15/2024,Restaurant Payment,Dining,1528,expense,ICICI Savings,UPI
4/11/2023,Insurance Premium,Insurance,6585,expense,ICICI Savings,NetBanking
1/6/2024,Restaurant Payment,Dining,6776,expense,ICICI Savings,Card
5/1/2024,Freelance Project Payment,Freelance,1061,income,HDFC Savings,UPI
5/11/2023,Insurance Premium,Insurance,4072,expense,ICICI Savings,Card
4/6/2023,Fuel Station,Fuel,2575,expense,ICICI Savings,Card
12/16/2022,Electricity Bill,Electricity,1427,expense,ICICI Savings,UPI
6/20/2022,Online Shopping,Shopping,5796,expense,HDFC Savings,Card
6/4/2023,Fuel Station,Fuel,2398,expense,HDFC Savings,UPI
8/17/2023,Monthly Salary Credit,Salary,79950,income,ICICI Savings,NetBanking
1/25/2023,Broadband Bill,Internet,7230,expense,ICICI Savings,NetBanking
3/3/2023,Monthly Salary Credit,Salary,87618,income,ICICI Savings,Card
1/11/2024,Insurance Premium,Insurance,6171,expense,HDFC Savings,NetBanking
1/6/2024,Equity Purchase,Stocks,9680,expense,HDFC Savings,UPI
6/16/2023,House Rent,Rent,21713,expense,ICICI Savings,UPI
10/2/2023,SIP Investment,Mutual Fund,10255,expense,ICICI Savings,Card
3/26/2023,Insurance Premium,Insurance,3268,expense,ICICI Savings,UPI
2/15/2024,Medical Expense,Medical,1880,expense,ICICI Savings,UPI
1/21/2023,Supermarket Purchase,Groceries,4271,expense,ICICI Savings,NetBanking
7/8/2022,Travel Booking,Travel,6818,expense,ICICI Savings,UPI
11/18/2023,SIP Investment,Mutual Fund,4399,expense,HDFC Savings,Card
2/17/2024,Supermarket Purchase,Groceries,3129,expense,HDFC Savings,UPI
7/22/2023,Insurance Premium,Insurance,3636,expense,HDFC Savings,UPI
11/8/2023,SIP Investment,Mutual Fund,3532,expense,ICICI Savings,NetBanking
10/31/2023,House Rent,Rent,19709,expense,HDFC Savings,UPI
